St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;1;14;18;-9.4
68860;2010;1;14;19;-9.8
68860;2010;1;14;20;-11.5
68860;2010;1;14;21;-12.1
68860;2010;1;14;22;-10.1
68860;2010;1;14;23;-11.0
68860;2010;1;14;24;-10.9
68860;2010;1;15;1;-11.1
68860;2010;1;15;2;-10.9
68860;2010;1;15;3;-10.7
68860;2010;1;15;4;-10.0
68860;2010;1;15;5;-10.2
68860;2010;1;15;6;-9.4
68860;2010;1;15;7;-9.5
68860;2010;1;15;8;-9.2
68860;2010;1;15;9;-9.0
68860;2010;1;15;10;-9.4
68860;2010;1;15;11;-8.8
68860;2010;1;15;12;-8.7
68860;2010;1;15;13;-9.0
68860;2010;1;15;14;-8.0
68860;2010;1;15;15;-8.0
68860;2010;1;15;16;-7.8
68860;2010;1;15;17;-7.8
68860;2010;1;15;18;-7.8
68860;2010;1;15;19;-7.7
68860;2010;1;15;20;-8.7
68860;2010;1;15;21;-8.0
68860;2010;1;15;22;-8.0
68860;2010;1;15;23;-6.6
68860;2010;1;15;24;-6.8
68860;2010;1;16;1;-6.3
68860;2010;1;16;2;-4.1
68860;2010;1;16;3;-5.9
68860;2010;1;16;4;-3.5
68860;2010;1;16;5;-3.4
68860;2010;1;16;6;-1.4
68860;2010;1;16;7;-1.3
68860;2010;1;16;8;-1.2
68860;2010;1;16;9;-1.7
68860;2010;1;16;10;-1.7
68860;2010;1;16;11;-1.6
68860;2010;1;16;12;-1.2
68860;2010;1;16;13;-0.7
68860;2010;1;16;14;-0.4
68860;2010;1;16;15;-0.1
68860;2010;1;16;16;0.1
68860;2010;1;16;17;-0.2
68860;2010;1;16;18;-0.4
68860;2010;1;16;19;-0.9
68860;2010;1;16;20;-1.6
68860;2010;1;16;21;-2.2
68860;2010;1;16;22;-1.8
68860;2010;1;16;23;-1.6
68860;2010;1;16;24;-1.6
68860;2010;1;17;1;-1.3
68860;2010;1;17;2;-1.4
68860;2010;1;17;3;-1.3
68860;2010;1;17;4;-1.5
68860;2010;1;17;5;-1.5
68860;2010;1;17;6;-1.7
68860;2010;1;17;7;-2.1
68860;2010;1;17;8;-2.1
68860;2010;1;17;9;-1.6
68860;2010;1;17;10;-1.6
68860;2010;1;17;11;-1.3
68860;2010;1;17;12;-1.1
